Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2021","2021","","115","E","Estimated value"
"TI","Trade Indices","056","Belgium","494","Export Unit/Value Index (2014-2016 = 100)","23993.03","Eggs, dried","2022","2022","","156","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2012","2012","","189","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2013","2013","","138","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2014","2014","","110","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2015","2015","","109","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2016","2016","","80","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2017","2017","","63","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2018","2018","","70","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2019","2019","","76","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2020","2020","","60","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2021","2021","","45","E","Estimated value"
"TI","Trade Indices","056","Belgium","495","Export Quantity Index (2014-2016 = 100)","23993.03","Eggs, dried","2022","2022","","45","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2012","2012","1000 USD","61288","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2013","2013","1000 USD","55589","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2014","2014","1000 USD","49596","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2015","2015","1000 USD","42957","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2016","2016","1000 USD","42021","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2017","2017","1000 USD","48071","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2018","2018","1000 USD","53262","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2019","2019","1000 USD","45385","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2020","2020","1000 USD","48436","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2021","2021","1000 USD","53250","E","Estimated value"
"TI","Trade Indices","056","Belgium","94","Export Value Base Quantity","23993.02","Eggs, liquid","2022","2022","1000 USD","66873","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2012","2012","1000 USD","38860","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2013","2013","1000 USD","39091","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2014","2014","1000 USD","41701","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2015","2015","1000 USD","46718","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2016","2016","1000 USD","45689","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2017","2017","1000 USD","49980","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2018","2018","1000 USD","48081","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2019","2019","1000 USD","46452","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2020","2020","1000 USD","39023","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2021","2021","1000 USD","45553","E","Estimated value"
"TI","Trade Indices","056","Belgium","95","Export Value Base Price","23993.02","Eggs, liquid","2022","2022","1000 USD","45171","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.02","Eggs, liquid","2012","2012","","119","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.02","Eggs, liquid","2013","2013","","109","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.02","Eggs, liquid","2014","2014","","103","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.02","Eggs, liquid","2015","2015","","100","E","Estimated value"
"TI","Trade Indices","056","Belgium","492","Export Value Index (2014-2016 = 100)","23993.02","Eggs, liquid","2016","2016","","96","E","Estimated value"
